ID_STAGIAIRE|LB_CIVILITE|LB_NOM_STAGIAIRE|LB_PREN_STAGIAIRE|DT_NAISSANCE|LB_LIEU_NAISSANCE|LB_NATIONALITE|CD_POSTAL|LB_VILLE|LB_PAYS|LB_ADRESSE|NUM_TEL|LB_DIPLOME_ELEVE|LB_SITUATION_MATR|NUM_NIR|BL_ACTIF|BL_EMBAUCHE
STG001|Mme|Dupont|Ludivine|04/02/2002|France|Française|35340|Liffré|France|10 Liffré 35340|99 99 99 99 99|Bac + 3|Célibataire sans enfant|999999999999999|True|False
STG002|Mr|Adda|Léonard|05/12/1997|Benin|Béninoise|35770|Vern-sur-Seiche|France|10 Vern-sur-Seiche 35770|99 99 99 99 99|Bac + 3|Pacsé(e)|999999999999999|True|False
STG003|Mr|Adda|Coffi|03/04/1998|Cameroun|Camerounaise|35560|Marcillé-Raoul|France|10 Marcillé-Raoul 35560|99 99 99 99 99|Bac + 4|Célibataire avec enfant|999999999999999|True|False
STG004|Mr|Fignon|Gaëtan|17/10/1992|Cameroun|Camerounaise|35630|Saint-Symphorien|France|10 Saint-Symphorien 35630|99 99 99 99 99|Bac + 5|Marié(e) |999999999999999|True|False
STG005|Mr|Tom|Fady|17/03/1989|Benin|Béninoise|35320|Poligné|France|10 Poligné 35320|99 99 99 99 99|Bac + 3|Célibataire avec enfant|999999999999999|True|False
STG006|Mme|Collin|Aline|21/11/1997|Benin|Béninoise|35190|Trimer|France|10 Trimer 35190|99 99 99 99 99|Bac + 4|Marié(e) |999999999999999|True|False
STG007|Mr|Durand|Ismael|06/10/1986|Benin|Béninoise|35220|Châteaubourg|France|10 Châteaubourg 35220|99 99 99 99 99|Bac + 5|Marié(e) |999999999999999|True|False
STG008|Mme|Poncelet|Lauryn|09/04/1999|Cameroun|Camerounaise|35380|Treffendel|France|10 Treffendel 35380|99 99 99 99 99|Bac + 5|Célibataire avec enfant|999999999999999|True|False
STG009|Mr|Bouchat|Gabin|30/12/1987|France|Française|35190|Trimer|France|10 Trimer 35190|99 99 99 99 99|Bac + 4|Pacsé(e)|999999999999999|True|False
STG010|Mr|Laloux|Oren|18/05/1987|Benin|Béninoise|35690|Acigné|France|10 Acigné 35690|99 99 99 99 99|Bac + 5|Célibataire sans enfant|999999999999999|True|False
STG011|Mlle|Delvaux|Binta|25/04/1985|Cameroun|Camerounaise|35160|Breteil|France|10 Breteil 35160|99 99 99 99 99|Bac + 5|Pacsé(e)|999999999999999|True|False
STG012|Mlle|Remacle|Siloé|29/12/1993|Cameroun|Camerounaise|35131|Chartres-de-Bretagne|France|10 Chartres-de-Bretagne 35131|99 99 99 99 99|Bac + 4|Pacsé(e)|999999999999999|True|False
STG013|Mme|Dubois|Ines|13/04/1998|Côte d'Ivoire|Ivoirienne|35520|la Mézière|France|10 la Mézière 35520|99 99 99 99 99|Bac + 4|Pacsé(e)|999999999999999|True|False
STG014|Mme|Lefèvre|Apolline|19/06/1986|Benin|Béninoise|35160|Breteil|France|10 Breteil 35160|99 99 99 99 99|Bac + 3|Célibataire avec enfant|999999999999999|True|False
STG015|Mr|Michel|Éthan|25/04/1996|Côte d'Ivoire|Ivoirienne|35320|Poligné|France|10 Poligné 35320|99 99 99 99 99|Bac + 4|Célibataire sans enfant|999999999999999|True|False
STG016|Mme|Toussaint|Jade|22/02/1996|Côte d'Ivoire|Ivoirienne|35490|Vieux-Vy-sur-Couesnon|France|10 Vieux-Vy-sur-Couesnon 35490|99 99 99 99 99|Bac + 4|Célibataire avec enfant|999999999999999|True|False
STG017|Mme|Charlier|May|26/01/1988|Côte d'Ivoire|Ivoirienne|35850|Gévezé|France|10 Gévezé 35850|99 99 99 99 99|Bac + 5|Pacsé(e)|999999999999999|True|False
STG018|Mme|Remy|Natacha|09/11/1990|Cameroun|Camerounaise|35340|Liffré|France|10 Liffré 35340|99 99 99 99 99|Bac + 3|Célibataire sans enfant|999999999999999|True|False
STG019|Mr|Michel|Erwan|03/09/1995|France|Française|35140|Mezières-sur-Couesnon|France|10 Mezières-sur-Couesnon 35140|99 99 99 99 99|Bac + 5|Célibataire avec enfant|999999999999999|True|False
STG020|Mr|Remacle|Rafaël|05/04/1994|Cameroun|Camerounaise|35190|Trimer|France|10 Trimer 35190|99 99 99 99 99|Bac + 3|Célibataire sans enfant|999999999999999|True|False
STG021|Mlle|Thiry|Mélanie|17/01/1998|Benin|Béninoise|35520|la Mézière|France|10 la Mézière 35520|99 99 99 99 99|Bac + 3|Célibataire sans enfant|999999999999999|True|False
STG022|Mr|Bernard|Auguste|21/03/1992|Benin|Béninoise|35140|Mezières-sur-Couesnon|France|10 Mezières-sur-Couesnon 35140|99 99 99 99 99|Bac + 3|Célibataire sans enfant|999999999999999|True|False
STG023|Mr|Gilson|Walid|19/07/2003|France|Française|35140|Mezières-sur-Couesnon|France|10 Mezières-sur-Couesnon 35140|99 99 99 99 99|Bac + 4|Pacsé(e)|999999999999999|True|False
STG024|Mr|Toussaint|Wesley|16/03/1994|Côte d'Ivoire|Ivoirienne|35490|Vieux-Vy-sur-Couesnon|France|10 Vieux-Vy-sur-Couesnon 35490|99 99 99 99 99|Bac + 3|Pacsé(e)|999999999999999|True|False
STG025|Mr|Lambert|Yassin|21/10/1999|Cameroun|Camerounaise|35140|Mezières-sur-Couesnon|France|10 Mezières-sur-Couesnon 35140|99 99 99 99 99|Bac + 5|Célibataire avec enfant|999999999999999|True|False
STG026|Mlle|Guillaume|Lola|04/04/1987|Cameroun|Camerounaise|35310|Saint-Thurial|France|10 Saint-Thurial 35310|99 99 99 99 99|Bac + 4|Pacsé(e)|999999999999999|True|False
STG027|Mlle|Simon|Taly|17/03/1986|France|Française|35530|Noyal-sur-Vilaine|France|10 Noyal-sur-Vilaine 35530|99 99 99 99 99|Bac + 3|Marié(e) |999999999999999|True|False
STG028|Mlle|Goffin|Assil|05/04/1998|Cameroun|Camerounaise|35170|Bruz|France|10 Bruz 35170|99 99 99 99 99|Bac + 3|Pacsé(e)|999999999999999|True|False
STG029|Mr|Dumont|Younès|11/03/1990|France|Française|35440|Guipel|France|10 Guipel 35440|99 99 99 99 99|Bac + 3|Pacsé(e)|999999999999999|True|False
STG030|Mlle|Gillet|Maïna|24/10/1987|Côte d'Ivoire|Ivoirienne|35190|Trimer|France|10 Trimer 35190|99 99 99 99 99|Bac + 3|Célibataire avec enfant|999999999999999|True|False
STG031|Mr|Kavak|Ayman|14/12/1986|Cameroun|Camerounaise|35250|Saint-Germain-sur-Ille|France|10 Saint-Germain-sur-Ille 35250|99 99 99 99 99|Bac + 3|Pacsé(e)|999999999999999|True|False
STG032|Mr|Toby|Dylan|14/03/2001|Benin|Béninoise|35520|la Mézière|France|10 la Mézière 35520|99 99 99 99 99|Bac + 5|Célibataire sans enfant|999999999999999|True|False
STG033|Mme|Piette|Julia|19/12/1989|France|Française|35320|Poligné|France|10 Poligné 35320|99 99 99 99 99|Bac + 4|Célibataire sans enfant|999999999999999|True|False
STG034|Mlle|Lemaire|Coumba|28/07/1992|France|Française|35190|Trimer|France|10 Trimer 35190|99 99 99 99 99|Bac + 3|Pacsé(e)|999999999999999|True|False
STG035|Mme|Toby|Eulalie|27/03/1999|Benin|Béninoise|35135|Chantepie|France|10 Chantepie 35135|99 99 99 99 99|Bac + 5|Célibataire avec enfant|999999999999999|True|False
STG036|Mme|Gillet|Thalie|06/06/1992|Benin|Béninoise|35530|Noyal-sur-Vilaine|France|10 Noyal-sur-Vilaine 35530|99 99 99 99 99|Bac + 3|Célibataire sans enfant|999999999999999|True|False
STG037|Mr|Leclercq|Fadi|11/05/2002|Cameroun|Camerounaise|35700|Rennes|France|10 Rennes 35700|99 99 99 99 99|Bac + 5|Célibataire avec enfant|999999999999999|True|False
